  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = rmse ~ names)

$names
                                                  diff          lwr
PCHEM_Proteomics.wa-MP2D.pls              0.028582532 0.1072183
Proteomics.pls-MP2D.pls                  -0.018772990 0.0290536
Proteomics.rf-MP2D.pls                   -0.070342067 0.0057075
Proteomics.wa-MP2D.pls                   -0.031542514 0.0197544
MP2D.wa-MP2D.rf                           0.630700629 0.0434881
PCHEM.pls-MP2D.rf                         0.818136549 0.0000733
PCHEM.rf-MP2D.rf                          0.380507991 0.9998067
PCHEM.wa-MP2D.rf                          0.555533235 0.2756206
PCHEM_Proteomics.pls-MP2D.rf              0.410205973 0.9947362
PCHEM_Proteomics.rf-MP2D.rf               0.303658642 1.0000000
PCHEM_Proteomics.wa-MP2D.rf               0.381370525 0.9997816
Proteomics.pls-MP2D.rf                    0.334015003 1.0000000
Proteomics.rf-MP2D.rf                     0.282445926 0.9999999
Proteomics.wa-MP2D.rf                     0.321245479 1.0000000
PCHEM.pls-MP2D.wa                         0.500322287 0.6538153
PCHEM.rf-MP2D.wa                          0.062693729 0.2362133
PCHEM.wa-MP2D.wa                          0.237718973 0.9994717
PCHEM_Proteomics.pls-MP2D.wa              0.092391712 0.4132064
PCHEM_Proteomics.rf-MP2D.wa              -0.014155620 0.0332965
PCHEM_Proteomics.wa-MP2D.wa               0.063556263 0.2405124
Proteomics.pls-MP2D.wa                    0.016200741 0.0778364
Proteomics.rf-MP2D.wa                    -0.035368336 0.0175562
Proteomics.wa-MP2D.wa                     0.003431217 0.0550293
PCHEM.rf-PCHEM.pls                       -0.124742191 0.0008735
PCHEM.wa-PCHEM.pls                        0.050283053 0.1802216
PCHEM_Proteomics.pls-PCHEM.pls           -0.095044209 0.0024746
PCHEM_Proteomics.rf-PCHEM.pls            -0.201591540 0.0000518
PCHEM_Proteomics.wa-PCHEM.pls            -0.123879657 0.0009008
Proteomics.pls-PCHEM.pls                 -0.171235179 0.0001610
Proteomics.rf-PCHEM.pls                  -0.222804256 0.0000233
Proteomics.wa-PCHEM.pls                  -0.184004703 0.0001002
PCHEM.wa-PCHEM.rf                         0.487911612 0.7407643
PCHEM_Proteomics.pls-PCHEM.rf             0.342584350 1.0000000
PCHEM_Proteomics.rf-PCHEM.rf              0.236037018 0.9993507
PCHEM_Proteomics.wa-PCHEM.rf              0.313748901 1.0000000
Proteomics.pls-PCHEM.rf                   0.266393380 0.9999955
Proteomics.rf-PCHEM.rf                    0.214824302 0.9943907
Proteomics.wa-PCHEM.rf                    0.253623856 0.9999470
PCHEM_Proteomics.pls-PCHEM.wa             0.167559105 0.9025237
PCHEM_Proteomics.rf-PCHEM.wa              0.061011774 0.2279829
PCHEM_Proteomics.wa-PCHEM.wa              0.138723657 0.7465013
Proteomics.pls-PCHEM.wa                   0.091368135 0.4062179
Proteomics.rf-PCHEM.wa                    0.039799058 0.1412178
Proteomics.wa-PCHEM.wa                    0.078598611 0.3239088
PCHEM_Proteomics.rf-PCHEM_Proteomics.pls  0.206339035 0.9889696
PCHEM_Proteomics.wa-PCHEM_Proteomics.pls  0.284050919 1.0000000
Proteomics.pls-PCHEM_Proteomics.pls       0.236695397 0.9994006
Proteomics.rf-PCHEM_Proteomics.pls        0.185126320 0.9574870
Proteomics.wa-PCHEM_Proteomics.pls        0.223925873 0.9975637
PCHEM_Proteomics.wa-PCHEM_Proteomics.rf   0.390598250 0.9992799
Proteomics.pls-PCHEM_Proteomics.rf        0.343242728 0.9999999
Proteomics.rf-PCHEM_Proteomics.rf         0.291673651 1.0000000
Proteomics.wa-PCHEM_Proteomics.rf         0.330473204 1.0000000
Proteomics.pls-PCHEM_Proteomics.wa        0.265530845 0.9999945
Proteomics.rf-PCHEM_Proteomics.wa         0.213961768 0.9939663
Proteomics.wa-PCHEM_Proteomics.wa         0.252761321 0.9999388
Proteomics.rf-Proteomics.pls              0.261317290 0.9999869
Proteomics.wa-Proteomics.pls              0.300116843 1.0000000
Proteomics.wa-Proteomics.rf               0.351685920 0.9999993

